date,Armenian genocide
2013-12-29,7
2014-01-05,8
2014-01-12,9
2014-01-19,9
2014-01-26,12
2014-02-02,11
2014-02-09,10
2014-02-16,10
2014-02-23,13
2014-03-02,13
2014-03-09,12
2014-03-16,12
2014-03-23,14
2014-03-30,20
2014-04-06,18
2014-04-13,17
2014-04-20,100
2014-04-27,24
2014-05-04,20
2014-05-11,16
2014-05-18,16
2014-05-25,14
2014-06-01,13
2014-06-08,10
2014-06-15,9
2014-06-22,7
2014-06-29,7
2014-07-06,9
2014-07-13,11
2014-07-20,9
2014-07-27,10
2014-08-03,11
2014-08-10,10
2014-08-17,9
2014-08-24,7
2014-08-31,8
2014-09-07,8
2014-09-14,9
2014-09-21,9
2014-09-28,8
2014-10-05,10
2014-10-12,10
2014-10-19,11
2014-10-26,10
2014-11-02,9
2014-11-09,10
2014-11-16,12
2014-11-23,10
2014-11-30,11
2014-12-07,12
2014-12-14,11
2014-12-21,8
2014-12-28,9
