date,Armenian genocide
2012-12-30,8
2013-01-06,9
2013-01-13,10
2013-01-20,10
2013-01-27,12
2013-02-03,12
2013-02-10,11
2013-02-17,12
2013-02-24,14
2013-03-03,13
2013-03-10,13
2013-03-17,13
2013-03-24,11
2013-03-31,13
2013-04-07,18
2013-04-14,22
2013-04-21,100
2013-04-28,21
2013-05-05,17
2013-05-12,17
2013-05-19,17
2013-05-26,14
2013-06-02,15
2013-06-09,12
2013-06-16,11
2013-06-23,9
2013-06-30,7
2013-07-07,9
2013-07-14,8
2013-07-21,8
2013-07-28,9
2013-08-04,9
2013-08-11,8
2013-08-18,10
2013-08-25,8
2013-09-01,6
2013-09-08,7
2013-09-15,8
2013-09-22,7
2013-09-29,8
2013-10-06,8
2013-10-13,8
2013-10-20,9
2013-10-27,9
2013-11-03,9
2013-11-10,11
2013-11-17,8
2013-11-24,7
2013-12-01,10
2013-12-08,10
2013-12-15,14
2013-12-22,7
2013-12-29,7
