date,Armenian genocide
2012-01-01,10
2012-01-08,12
2012-01-15,13
2012-01-22,35
2012-01-29,17
2012-02-05,14
2012-02-12,14
2012-02-19,13
2012-02-26,18
2012-03-04,15
2012-03-11,35
2012-03-18,21
2012-03-25,20
2012-04-01,18
2012-04-08,19
2012-04-15,28
2012-04-22,100
2012-04-29,21
2012-05-06,17
2012-05-13,15
2012-05-20,16
2012-05-27,14
2012-06-03,13
2012-06-10,13
2012-06-17,10
2012-06-24,10
2012-07-01,10
2012-07-08,11
2012-07-15,9
2012-07-22,10
2012-07-29,8
2012-08-05,7
2012-08-12,6
2012-08-19,6
2012-08-26,7
2012-09-02,8
2012-09-09,7
2012-09-16,10
2012-09-23,8
2012-09-30,7
2012-10-07,7
2012-10-14,9
2012-10-21,8
2012-10-28,8
2012-11-04,9
2012-11-11,9
2012-11-18,8
2012-11-25,11
2012-12-02,10
2012-12-09,10
2012-12-16,7
2012-12-23,6
2012-12-30,7
