date,Armenian genocide
2017-12-31,12
2018-01-07,13
2018-01-14,14
2018-01-21,16
2018-01-28,16
2018-02-04,16
2018-02-11,17
2018-02-18,19
2018-02-25,19
2018-03-04,16
2018-03-11,14
2018-03-18,16
2018-03-25,14
2018-04-01,15
2018-04-08,20
2018-04-15,23
2018-04-22,100
2018-04-29,21
2018-05-06,21
2018-05-13,23
2018-05-20,22
2018-05-27,17
2018-06-03,15
2018-06-10,10
2018-06-17,10
2018-06-24,8
2018-07-01,7
2018-07-08,9
2018-07-15,10
2018-07-22,10
2018-07-29,8
2018-08-05,8
2018-08-12,8
2018-08-19,8
2018-08-26,9
2018-09-02,7
2018-09-09,8
2018-09-16,9
2018-09-23,9
2018-09-30,10
2018-10-07,10
2018-10-14,11
2018-10-21,10
2018-10-28,11
2018-11-04,10
2018-11-11,10
2018-11-18,10
2018-11-25,11
2018-12-02,12
2018-12-09,13
2018-12-16,11
2018-12-23,8
2018-12-30,9
