date,Armenian genocide
2018-12-30,9
2019-01-06,12
2019-01-13,14
2019-01-20,11
2019-01-27,12
2019-02-03,13
2019-02-10,12
2019-02-17,13
2019-02-24,16
2019-03-03,17
2019-03-10,16
2019-03-17,19
2019-03-24,18
2019-03-31,19
2019-04-07,23
2019-04-14,21
2019-04-21,100
2019-04-28,28
2019-05-05,23
2019-05-12,22
2019-05-19,19
2019-05-26,14
2019-06-02,13
2019-06-09,10
2019-06-16,8
2019-06-23,10
2019-06-30,8
2019-07-07,8
2019-07-14,8
2019-07-21,10
2019-07-28,7
2019-08-04,8
2019-08-11,7
2019-08-18,7
2019-08-25,12
2019-09-01,9
2019-09-08,9
2019-09-15,9
2019-09-22,9
2019-09-29,9
2019-10-06,16
2019-10-13,20
2019-10-20,11
2019-10-27,75
2019-11-03,16
2019-11-10,17
2019-11-17,12
2019-11-24,11
2019-12-01,13
2019-12-08,34
2019-12-15,30
2019-12-22,8
2019-12-29,7
