date,Armenian genocide
2021-12-26,11
2022-01-02,15
2022-01-09,16
2022-01-16,14
2022-01-23,20
2022-01-30,24
2022-02-06,20
2022-02-13,21
2022-02-20,29
2022-02-27,27
2022-03-06,24
2022-03-13,23
2022-03-20,25
2022-03-27,70
2022-04-03,68
2022-04-10,33
2022-04-17,52
2022-04-24,100
2022-05-01,37
2022-05-08,36
2022-05-15,28
2022-05-22,23
2022-05-29,21
2022-06-05,21
2022-06-12,18
2022-06-19,15
2022-06-26,14
2022-07-03,13
2022-07-10,13
2022-07-17,15
2022-07-24,14
2022-07-31,16
2022-08-07,14
2022-08-14,13
2022-08-21,14
2022-08-28,14
2022-09-04,13
2022-09-11,21
2022-09-18,21
2022-09-25,18
2022-10-02,16
2022-10-09,18
2022-10-16,18
2022-10-23,18
2022-10-30,17
2022-11-06,17
2022-11-13,18
2022-11-20,15
2022-11-27,20
2022-12-04,20
2022-12-11,19
2022-12-18,15
2022-12-25,10
