date,Armenian genocide
2014-12-28,2
2015-01-04,3
2015-01-11,3
2015-01-18,3
2015-01-25,6
2015-02-01,5
2015-02-08,4
2015-02-15,4
2015-02-22,5
2015-03-01,4
2015-03-08,5
2015-03-15,5
2015-03-22,6
2015-03-29,7
2015-04-05,16
2015-04-12,37
2015-04-19,100
2015-04-26,24
2015-05-03,9
2015-05-10,7
2015-05-17,5
2015-05-24,5
2015-05-31,4
2015-06-07,4
2015-06-14,3
2015-06-21,3
2015-06-28,3
2015-07-05,2
2015-07-12,3
2015-07-19,3
2015-07-26,2
2015-08-02,2
2015-08-09,2
2015-08-16,2
2015-08-23,2
2015-08-30,2
2015-09-06,3
2015-09-13,3
2015-09-20,10
2015-09-27,6
2015-10-04,4
2015-10-11,3
2015-10-18,2
2015-10-25,2
2015-11-01,2
2015-11-08,3
2015-11-15,4
2015-11-22,4
2015-11-29,3
2015-12-06,4
2015-12-13,3
2015-12-20,3
2015-12-27,3
