date,Armenian genocide
2015-12-27,14
2016-01-03,10
2016-01-10,11
2016-01-17,11
2016-01-24,12
2016-01-31,15
2016-02-07,12
2016-02-14,12
2016-02-21,14
2016-02-28,13
2016-03-06,15
2016-03-13,20
2016-03-20,16
2016-03-27,16
2016-04-03,24
2016-04-10,22
2016-04-17,43
2016-04-24,100
2016-05-01,24
2016-05-08,20
2016-05-15,17
2016-05-22,15
2016-05-29,58
2016-06-05,22
2016-06-12,14
2016-06-19,14
2016-06-26,16
2016-07-03,10
2016-07-10,10
2016-07-17,13
2016-07-24,10
2016-07-31,8
2016-08-07,7
2016-08-14,8
2016-08-21,8
2016-08-28,8
2016-09-04,11
2016-09-11,14
2016-09-18,21
2016-09-25,10
2016-10-02,10
2016-10-09,9
2016-10-16,10
2016-10-23,13
2016-10-30,11
2016-11-06,11
2016-11-13,13
2016-11-20,11
2016-11-27,14
2016-12-04,15
2016-12-11,13
2016-12-18,10
2016-12-25,10
