date,Armenian genocide
2020-12-27,5
2021-01-03,5
2021-01-10,6
2021-01-17,7
2021-01-24,7
2021-01-31,6
2021-02-07,6
2021-02-14,6
2021-02-21,7
2021-02-28,8
2021-03-07,7
2021-03-14,9
2021-03-21,10
2021-03-28,8
2021-04-04,9
2021-04-11,9
2021-04-18,100
2021-04-25,79
2021-05-02,13
2021-05-09,13
2021-05-16,11
2021-05-23,9
2021-05-30,7
2021-06-06,7
2021-06-13,6
2021-06-20,5
2021-06-27,5
2021-07-04,4
2021-07-11,5
2021-07-18,4
2021-07-25,5
2021-08-01,4
2021-08-08,4
2021-08-15,5
2021-08-22,5
2021-08-29,4
2021-09-05,5
2021-09-12,4
2021-09-19,6
2021-09-26,5
2021-10-03,5
2021-10-10,5
2021-10-17,5
2021-10-24,6
2021-10-31,6
2021-11-07,6
2021-11-14,6
2021-11-21,4
2021-11-28,6
2021-12-05,6
2021-12-12,7
2021-12-19,5
2021-12-26,4
