date,Armenian genocide
2024-12-29,10
2025-01-05,15
2025-01-12,16
2025-01-19,16
2025-01-26,21
2025-02-02,20
2025-02-09,19
2025-02-16,20
2025-02-23,23
2025-03-02,25
2025-03-09,24
2025-03-16,21
2025-03-23,23
2025-03-30,24
2025-04-06,23
2025-04-13,26
2025-04-20,100
2025-04-27,27
2025-05-04,28
2025-05-11,27
2025-05-18,24
2025-05-25,20
2025-06-01,19
2025-06-08,16
2025-06-15,15
2025-06-22,14
2025-06-29,10
2025-07-06,13
2025-07-13,12
2025-07-20,16
2025-07-27,13
2025-08-03,18
2025-08-10,22
2025-08-17,18
2025-08-24,28
2025-08-31,21
2025-09-07,23
2025-09-14,23
2025-09-21,24
2025-09-28,25
2025-10-05,26
2025-10-12,27
2025-10-19,27
2025-10-26,22
2025-11-02,21
2025-11-09,24
2025-11-16,19
2025-11-23,21
2025-11-30,21
2025-12-07,21
2025-12-14,19
2025-12-21,14
2025-12-28,11
