"created_at","timestamp_ms","id","extended_full_text","user_id","user_screen_name","user_name","user_followers_count","user_location","user_created_at","user_friends_count","user_statuses_count","user_verified","id_str","source","truncated","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","contributors","is_quote_status","quote_count","reply_count","retweet_count","favorite_count","favorited","retweeted","filter_level","lang","possibly_sensitive","withheld_copyright","place_name","text","long","lat","quoted_status_id_str","place_country_code","rt_id","rt_user_name","rt_extended_full_text","rt_text","rt_favorite_count","rt_friends_count","rt_followers_count","rt_statuses_count","rt_user_id","rt_retweet_count","rt_reply_count","rt_quote_count","rt_user_verified","rt_user_location","rt_truncated","rt_source","rt_created_at","rt_user_screen_name","lat_float","long_float","hour","year","month","day","date"
"Thu Apr 23 15:52:24 +0000 2015","1429804344000","591328790485143552","RT @AYFeast: #TurkeyFailed because @systemofadown just performed their #WakeUpTheSouls concert to thousâ€¦ http://t.co/ShnwQtA7Uq http://t.coâ€¦",,"ABFNY","ABFNYC","45","","Sun Jul 27 22:13:20 +0000 2014","116","165",,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","RT @AYFeast: #TurkeyFailed because @systemofadown just performed their #WakeUpTheSouls concert to thousâ€¦ http://t.co/ShnwQtA7Uq http://t.coâ€¦","0.00000","0.00000",,"null","591322329931714560","AYFeast","#TurkeyFailed because @systemofadown just performed their #WakeUpTheSouls concert to thousâ€¦ http://t.co/ShnwQtA7Uq http://t.co/tqgPalagEc","#TurkeyFailed because @systemofadown just performed their #WakeUpTheSouls concert to thousâ€¦ http://t.co/ShnwQtA7Uq http://t.co/tqgPalagEc",,"1953","1630","2249",,"0",,,,,,,"Thu Apr 23 15:26:44 +0000 2015","AYFeast",,,"15","2015","04","23","04/23/2015"
"Thu Apr 23 06:50:44 +0000 2015","1429771844000","591192475580157952","RT @Genocideof1915: Eiffel Tower to go dark on April 24 in memory of #ArmenianGenocide victims.
#Turkeyfailed http://t.co/aIwSurojXv",,"BakerRebecca27","Rebecca Baker","35","","Tue Apr 21 03:21:06 +0000 2015","59","31",,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","RT @Genocideof1915: Eiffel Tower to go dark on April 24 in memory of #ArmenianGenocide victims.
#Turkeyfailed http://t.co/aIwSurojXv","0.00000","0.00000",,"null","590632716955209729","Armenian Genocide","Eiffel Tower to go dark on April 24 in memory of #ArmenianGenocide victims.
#Turkeyfailed http://t.co/aIwSurojXv","Eiffel Tower to go dark on April 24 in memory of #ArmenianGenocide victims.
#Turkeyfailed http://t.co/aIwSurojXv",,"60","2128","3657",,"0",,,,,,,"Tue Apr 21 17:46:27 +0000 2015","Genocideof1915",,,"06","2015","04","23","04/23/2015"
"Thu Apr 23 16:05:18 +0000 2015","1429805118000","591332036868050944","RT @Invincible_41: This is #Armenia #armeniangenocide #ArmenianGenocideCentennial #TurkeyFailed http://t.co/ejKUVhUCPU",,"Lusin_Kara","Lucy","58","Armenia","Tue Mar 18 09:45:36 +0000 2014","194","631",,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","RT @Invincible_41: This is #Armenia #armeniangenocide #ArmenianGenocideCentennial #TurkeyFailed http://t.co/ejKUVhUCPU","0.00000","0.00000",,"null","591331828495093761","Shant A","This is #Armenia #armeniangenocide #ArmenianGenocideCentennial #TurkeyFailed http://t.co/ejKUVhUCPU","This is #Armenia #armeniangenocide #ArmenianGenocideCentennial #TurkeyFailed http://t.co/ejKUVhUCPU",,"556","207","2713",,"0",,,,,,,"Thu Apr 23 16:04:28 +0000 2015","Invincible_41",,,"16","2015","04","23","04/23/2015"
"Thu Apr 23 14:06:58 +0000 2015","1429798018000","591302257280425986","RT @AnaAce41: #TurkeyFailed http://t.co/GlAw1fekcn",,"SariAghchig","Sari Aghchig","160","","Thu Apr 09 17:18:36 +0000 2015","887","2361",,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","RT @AnaAce41: #TurkeyFailed http://t.co/GlAw1fekcn","0.00000","0.00000",,"null","591294543556935683","Ana Asatori","#TurkeyFailed http://t.co/GlAw1fekcn","#TurkeyFailed http://t.co/GlAw1fekcn",,"254","215","5210",,"0",,,,,,,"Thu Apr 23 13:36:19 +0000 2015","AnaAce41",,,"14","2015","04","23","04/23/2015"
"Thu Apr 23 23:15:41 +0000 2015","1429830941000","591440346372034561","#TurkeyFailed http://t.co/ohF8kHm45N",,"Turan7777777","TÃœRKâ™¡â™¡â™¡â™¡â™¡â™¡â™¡","152","","Mon Apr 06 18:51:49 +0000 2015","168","619",,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","false",,"null",,"null",,,,,,"0",,,,"tr",,,"null","#TurkeyFailed http://t.co/ohF8kHm45N","0.00000","0.00000",,"null",,"null","null","null",,"0","0","0",,"0",,,,,,,,"null",,,"23","2015","04","23","04/23/2015"
"Thu Apr 23 14:20:06 +0000 2015","1429798806000","591305562412945410","RT @kevaba: Word. @nytimes editorial cartoon. #ArmenianGenocide #MarchtoJustice HT @khatcho #TurkeyFailed http://t.co/7cDMVYGwOR",,"alexpipern","Uncle Vivid","151","","Tue Apr 24 18:45:58 +0000 2012","395","1512",,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","RT @kevaba: Word. @nytimes editorial cartoon. #ArmenianGenocide #MarchtoJustice HT @khatcho #TurkeyFailed http://t.co/7cDMVYGwOR","0.00000","0.00000",,"null","588736379267350528","Kevork Abazajian","Word. @nytimes editorial cartoon. #ArmenianGenocide #MarchtoJustice HT @khatcho #TurkeyFailed http://t.co/7cDMVYGwOR","Word. @nytimes editorial cartoon. #ArmenianGenocide #MarchtoJustice HT @khatcho #TurkeyFailed http://t.co/7cDMVYGwOR",,"227","371","2371",,"0",,,,,,,"Thu Apr 16 12:11:05 +0000 2015","kevaba",,,"14","2015","04","23","04/23/2015"
"Thu Apr 23 23:51:36 +0000 2015","1429833096000","591449385084575744","RT @MBodirikyan: NI OLVIDO NI PERDON #GenocidioArmenio #TurquiaEstadoGenocida #TurkeyFailed",,"MeluKalai","Melu â™£ï¸�","435","","Tue Aug 23 07:38:09 +0000 2011","271","15112",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,"0",,,,"es",,,"null","RT @MBodirikyan: NI OLVIDO NI PERDON #GenocidioArmenio #TurquiaEstadoGenocida #TurkeyFailed","0.00000","0.00000",,"null","591448616402870273","Marchota","NI OLVIDO NI PERDON #GenocidioArmenio #TurquiaEstadoGenocida #TurkeyFailed","NI OLVIDO NI PERDON #GenocidioArmenio #TurquiaEstadoGenocida #TurkeyFailed",,"312","322","20997",,"0",,,,,,,"Thu Apr 23 23:48:33 +0000 2015","MBodirikyan",,,"23","2015","04","23","04/23/2015"
"Thu Apr 23 14:30:44 +0000 2015","1429799444000","591308238391549953","RT @MeGinnie: Ô±Õ´Õ¡Õ¶ Õ§Õ½ Õ«Õ¶Õ¹ Õ¥Õ¶ Õ¥Ö€Õ£Õ¸Ö‚Õ´ :Õƒ Õ´Õ¥Ö€Õ¸Õ¶Ö„ Õ§Õ¬ Õ°Õ¡ Õ¡Õ½Õ¸Ö‚Õ´ Õ¥Õ¶ Õ©Õ¡Ö€Õ£Õ´Õ¡Õ¶Õ« :Õƒ #TurkeyFailed #SOAD #armeniangenocide",,"1915Aurora","Aurora","336","United States","Fri Mar 13 10:12:51 +0000 2015","613","7938",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","RT @MeGinnie: Ô±Õ´Õ¡Õ¶ Õ§Õ½ Õ«Õ¶Õ¹ Õ¥Õ¶ Õ¥Ö€Õ£Õ¸Ö‚Õ´ :Õƒ Õ´Õ¥Ö€Õ¸Õ¶Ö„ Õ§Õ¬ Õ°Õ¡ Õ¡Õ½Õ¸Ö‚Õ´ Õ¥Õ¶ Õ©Õ¡Ö€Õ£Õ´Õ¡Õ¶Õ« :Õƒ #TurkeyFailed #SOAD #armeniangenocide","0.00000","0.00000",,"null","591307737365094401","Õ‹Õ«Õ¶ ","Ô±Õ´Õ¡Õ¶ Õ§Õ½ Õ«Õ¶Õ¹ Õ¥Õ¶ Õ¥Ö€Õ£Õ¸Ö‚Õ´ :Õƒ Õ´Õ¥Ö€Õ¸Õ¶Ö„ Õ§Õ¬ Õ°Õ¡ Õ¡Õ½Õ¸Ö‚Õ´ Õ¥Õ¶ Õ©Õ¡Ö€Õ£Õ´Õ¡Õ¶Õ« :Õƒ #TurkeyFailed #SOAD #armeniangenocide","Ô±Õ´Õ¡Õ¶ Õ§Õ½ Õ«Õ¶Õ¹ Õ¥Õ¶ Õ¥Ö€Õ£Õ¸Ö‚Õ´ :Õƒ Õ´Õ¥Ö€Õ¸Õ¶Ö„ Õ§Õ¬ Õ°Õ¡ Õ¡Õ½Õ¸Ö‚Õ´ Õ¥Õ¶ Õ©Õ¡Ö€Õ£Õ´Õ¡Õ¶Õ« :Õƒ #TurkeyFailed #SOAD #armeniangenocide",,"181","188","2230",,"0",,,,,,,"Thu Apr 23 14:28:45 +0000 2015","MeGinnie",,,"14","2015","04","23","04/23/2015"
"Thu Apr 23 17:03:49 +0000 2015","1429808629000","591346763073622016","RT @Arlete___: #TurkeyFailed http://t.co/UjYzffEXo1",,"InessaBuniatyan","inessa buniatyan","46","","Sat Dec 20 02:05:59 +0000 2014","69","339",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","RT @Arlete___: #TurkeyFailed http://t.co/UjYzffEXo1","0.00000","0.00000",,"null","591345236506386432","Arlete Ghazaryan","#TurkeyFailed http://t.co/UjYzffEXo1","#TurkeyFailed http://t.co/UjYzffEXo1",,"83","111","2348",,"0",,,,,,,"Thu Apr 23 16:57:45 +0000 2015","Arlete___",,,"17","2015","04","23","04/23/2015"
"Thu Apr 23 03:02:25 +0000 2015","1429758145000","591135017834663936","http://t.co/ymlbaWVhUo  #ArmenianGenocide #marchtojustice #TurkeyFailed",,"twantrum","twantrum","71","USA","Tue Dec 15 09:15:52 +0000 2009","159","94",,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false",,"null",,"null",,,,,,"0",,,,"en",,,"null","http://t.co/ymlbaWVhUo  #ArmenianGenocide #marchtojustice #TurkeyFailed","0.00000","0.00000",,"null",,"null","null","null",,"0","0","0",,"0",,,,,,,,"null",,,"03","2015","04","23","04/23/2015"
