"created_at","timestamp_ms","id","extended_full_text","user_id","user_screen_name","user_name","user_followers_count","user_location","user_created_at","user_friends_count","user_statuses_count","user_verified","id_str","source","truncated","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","contributors","is_quote_status","quote_count","reply_count","retweet_count","favorite_count","favorited","retweeted","filter_level","lang","possibly_sensitive","withheld_copyright","place_name","text","long","lat","quoted_status_id_str","place_country_code","rt_id","rt_user_name","rt_extended_full_text","rt_text","rt_favorite_count","rt_friends_count","rt_followers_count","rt_statuses_count","rt_user_id","rt_retweet_count","rt_reply_count","rt_quote_count","rt_user_verified","rt_user_location","rt_truncated","rt_source","rt_created_at","rt_user_screen_name","lat_float","long_float","hour","year","month","day","date"
"Tue Apr 24 19:28:00 +0000 2012","1335295680000","194930723000561665","RT @i_DylanSprouse: I recognize the #ArmenianGenocide #1915NeverAgain",,"priinncessx3        ","#ArmenianGenocide","189",,"Fri Jul 29 01:40:12 +0000 2011","163","6287",,,"web",,,,,"null",,,,,,,,,,,,,,"RT @i_DylanSprouse: I recognize the #ArmenianGenocide #1915NeverAgain","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"19","2012","04","24","04/24/2012"
"Tue Apr 24 09:47:54 +0000 2012","1335260874000","194784736084901889","Today is the 97th anniversary of the Armenian Genocide. 1.5 million armenians were massacres. #1915neveragain #NeverForget #stopturkishlies",,"turn_da_HEAT_ON     ","Jordan Heaton","261",,"Tue Oct 18 12:54:07 +0000 2011","452","4325",,,"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,"null",,,,,,,,,,,,,,"Today is the 97th anniversary of the Armenian Genocide. 1.5 million armenians were massacres. #1915neveragain #NeverForget #stopturkishlies","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"09","2012","04","24","04/24/2012"
"Tue Apr 24 07:43:35 +0000 2012","1335253415000","194753446564466689","#1915neveragain #ArmenianGenocide more then just a picture... http://t.co/u4DdciqP",,"NatoBingz           ","Nathalie . âˆž  â™Œ","74",,"Sat Feb 25 00:19:33 +0000 2012","128","922",,,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerryÂ®</a>",,,,,"null",,,,,,,,,,,,,,"#1915neveragain #ArmenianGenocide more then just a picture... http://t.co/u4DdciqP","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"07","2012","04","24","04/24/2012"
"Tue Apr 24 10:40:18 +0000 2012","1335264018000","194797922955698176","RIP to everyone who died today in 1915 #1915NeverAgain #ArmenianGenocide",,"Elianx_             ","Elian Grigorian","26",,"Mon Apr 16 00:09:16 +0000 2012","85","101",,,"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,"null",,,,,,,,,,,,,,"RIP to everyone who died today in 1915 #1915NeverAgain #ArmenianGenocide","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"10","2012","04","24","04/24/2012"
"Tue Apr 24 12:14:17 +0000 2012","1335269657000","194821574656917505","RT @Meefig: My great grandfather and his brother faught against the Turks in 1915 #1915NeverAgain #armeniangenocide http://t.co/qqYdaoqB",,"itsSanan7exy        ","Sanan Panossian","88",,"Tue Jan 19 02:50:51 +0000 2010","168","338",,,"web",,,,,"null",,,,,,,,,,,,,,"RT @Meefig: My great grandfather and his brother faught against the Turks in 1915 #1915NeverAgain #armeniangenocide http://t.co/qqYdaoqB","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"12","2012","04","24","04/24/2012"
"Tue Apr 24 20:13:22 +0000 2012","1335298402000","194942139929595906","RT @i_DylanSprouse: I recognize the #ArmenianGenocide #1915NeverAgain",,"Meray_T             ","Meray Tabakian","643",,"Wed Sep 08 15:36:08 +0000 2010","152","1191",,,"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,"null",,,,,,,,,,,,,,"RT @i_DylanSprouse: I recognize the #ArmenianGenocide #1915NeverAgain","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"20","2012","04","24","04/24/2012"
"Tue Apr 24 20:36:31 +0000 2012","1335299791000","194947965813657601","RT @KittyMazmanian: @rihanna RecognizeTheArmenianGenocide #ArmenianGenocide #1915NeverAgain",,"kanoush             ","Kara Anoush","1740",,"Tue Mar 18 15:31:15 +0000 2008","938","1992",,,"web",,,,,"null",,,,,,,,,,,,,,"RT @KittyMazmanian: @rihanna RecognizeTheArmenianGenocide #ArmenianGenocide #1915NeverAgain","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"20","2012","04","24","04/24/2012"
"Tue Apr 24 21:10:59 +0000 2012","1335301859000","194956639621746690","RT @MrsKharma: #1915neveragain #remember #armeniangenocide http://t.co/Fpp3hitr",,"Rita1972            ","Rita Campos","33",,"Wed Mar 11 15:43:00 +0000 2009","132","715",,,"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,"null",,,,,,,,,,,,,,"RT @MrsKharma: #1915neveragain #remember #armeniangenocide http://t.co/Fpp3hitr","0.00000","0.00000",,,,,,,,,,,,,,,,,,,,,,,"21","2012","04","24","04/24/2012"
"Tue Apr 23 03:34:47 +0000 2013","1366688087000","326600021267058688","RT @Meefig: Turkey we see the guilt in your actions #ArmenianGenocide #1915neveragain #RecognizeTheArmenianGenocide",,"SamSahagian","sam sahagian","288",,"Thu Sep 08 00:45:09 +0000 2011","252","5012",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,,,,,"en",,,"null","RT @Meefig: Turkey we see the guilt in your actions #ArmenianGenocide #1915neveragain #RecognizeTheArmenianGenocide","0.00000","0.00000",,"null","326599893579870208","Meero Panossian","Turkey we see the guilt in your actions #ArmenianGenocide #1915neveragain #RecognizeTheArmenianGenocide","Turkey we see the guilt in your actions #ArmenianGenocide #1915neveragain #RecognizeTheArmenianGenocide",,"298","396","23638",,"0",,,,,,,"Tue Apr 23 03:34:17 +0000 2013","Meefig",,,"03","2013","04","23","04/23/2013"
"Tue Apr 23 14:47:37 +0000 2013","1366728457000","326769345323741184","#ArmenianGenocide #RecognizeTheArmenianGenocide #1915April24 #1915NeverAgain http://t.co/WGmj4hMoE9",,"VanieM97","Vanie Mardirossian","550",,"Tue Sep 18 08:42:47 +0000 2012","707","3933",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,,,,,"en",,,"null","#ArmenianGenocide #RecognizeTheArmenianGenocide #1915April24 #1915NeverAgain http://t.co/WGmj4hMoE9","0.00000","0.00000",,"null",,"null","null","null",,"0","0","0",,"0",,,,,,,,"null",,,"14","2013","04","23","04/23/2013"
